Район,Цена,Цена / кв.м.
Банишора,134653.98,1987.51
Банкя (гр.),131843.00,1890.84
Белите Брези,249900.00,2108.86
Бенковски,115863.50,1782.52
Борово,135594.22,2148.50
Бояна,170026.34,357.34
Бъкстон,140295.53,1987.52
Витоша,146223.45,1897.09
Гевгелийски,83000.00,1844.44
Гео Милев,194693.33,2929.19
Горна Баня,187999.50,1894.20
Гоце Делчев,156204.50,2255.66
Дианабад,199372.16,2403.19
Драгалевци,174132.61,2164.91
Дружба,99885.34,1664.76
Дружба 1,117773.17,1663.46
Дружба 2,139138.41,1776.07
Дървеница,138438.67,2049.71
Западен Парк,126466.66,2033.23
Захарна Фабрика,102160.00,1755.33
Зона Б18,149445.69,2237.56
Зона Б19,167975.00,2061.04
Зона Б5,180623.75,2521.80
Иван Вазов,341500.00,4985.40
Изгрев,248494.70,3485.20
Изток,229311.25,3241.15
Илинден,120422.11,1928.47
Княжево,141838.50,1854.10
Красна Поляна,104876.26,1724.75
Красно Село,156238.61,1986.68
Кръстова Вада,173593.56,2229.43
Лагера,187518.12,2343.98
Левски,108741.64,1629.96
Левски В,101750.89,1433.11
Левски Г,145000.00,2764.83
Лозенец,226177.34,3041.19
Люлин 1,98500.00,1417.27
Люлин 10,137920.00,1467.23
Люлин 2,105549.72,1537.99
Люлин 3,104458.34,1600.89
Люлин 4,127135.34,1595.84
Люлин 5,99524.34,1442.76
Люлин 6,99289.25,1555.95
Люлин 7,101816.66,1775.87
Люлин 8,108873.11,1552.87
Люлин 9,88328.89,1383.74
Люлин Център,124945.00,1548.41
м-т Гърдова глава,132683.00,1759.72
Малинова Долина,126186.80,1732.87
Малинова долина в.з.,115484.14,1854.10
Манастирски ливади Запад,179153.33,2193.71
Манастирски ливади Изток,174623.45,2354.32
Младост 1,155307.05,2081.86
Младост 1а,183614.28,2367.04
Младост 2,156045.59,2083.39
Младост 3,138098.11,2051.50
Младост 4,128117.33,1835.57
Мотописта,160000.00,1882.35
Мусагеница,157999.80,2401.21
Надежда 1,132884.91,1943.80
Надежда 2,122826.41,1729.95
Надежда 3,120210.00,1658.07
Надежда 4,102698.25,1559.41
Обеля,93620.00,1500.32
Обеля 1,101354.62,1425.98
Обеля 2,100981.43,1636.27
Оборище,205835.36,2975.93
Овча Купел,131617.98,1673.85
Овча Купел 1,114984.59,1492.64
Овча Купел 2,124321.39,1776.02
Павлово,158898.44,1901.55
Подуене,137999.69,1960.65
Полигона,142004.42,1815.70
Разсадника,159109.36,2205.48
Редута,165350.00,2292.99
Света Троица,142939.14,2149.46
Свобода,117944.45,1859.02
Сердика,153390.00,2130.42
Симеоново,152637.88,2061.46
Славия,118798.75,1646.17
Слатина,172566.58,2382.97
Стрелбище,194198.44,2660.25
Студентски Град,126974.20,1766.95
Суха Река,142568.30,1872.43
Толстой,108836.95,1740.73
Факултета,133000.00,1583.33
Фондови Жилища,85000.00,1545.45
Хаджи Димитър,135698.34,1978.29
Хиподрума,225337.50,3388.53
Хладилника,244479.89,2767.70
Център,193516.88,2717.73
Яворов,187800.00,2819.82
